University of Southern California;|
Arizona State University;California Institute of Technology;Georgia Institute of Technology;University of California Berkeley;University of California Los Angeles;University of Maryland College Park;|
|
|
Ohio State University Columbus;University of Florida;University of Southern California;University of Texas Austin;Arizona State University;University of Minnesota Twin Cities;University of Texas Dallas;Virginia Polytechnic Institute and State University;North Carolina State University;Texas A&M University College Station;|Arizona State University;University of Minnesota Twin Cities;University of Texas Dallas;Virginia Polytechnic Institute and State University;
SUNY Stony Brook;North Carolina State University;Ohio State University Columbus;University of California Irvine;University of California San Diego;University of California Santa Barbara;University of Florida;University of Michigan Ann Arbor;University of Minnesota Twin Cities;|SUNY Stony Brook;
Texas A&M University College Station;University of California Davis;University of Notre Dame;|
University of Maryland College Park;George Mason University;New Jersey Institute of Technology;Northeastern University;Southern Methodist University;Polytechnic University of New York;Rochester Institute of Technology;University of Colorado Boulder;|George Mason University;New Jersey Institute of Technology;Northeastern University;Southern Methodist University;
University of Florida;Virginia Polytechnic Institute and State University;North Carolina State University;University of California San Diego;University of Minnesota Twin Cities;University of Southern California;Northeastern University;Texas A&M University College Station;|North Carolina State University;University of California San Diego;University of Minnesota Twin Cities;University of Southern California;
Carnegie Mellon University;Virginia Polytechnic Institute and State University;North Carolina State University;University of Southern California;Georgia Institute of Technology;Purdue University;University of California Irvine;University of California San Diego;University of Texas Austin;University of Wisconsin Madison;|North Carolina State University;University of Southern California;
Arizona State University;Oregon State University;Texas Tech University;University of Arizona;University of Connecticut;University of Texas Arlington;University of Texas Dallas;West Virginia State University;|
George Mason University;New Jersey Institute of Technology;University of Mississippi;University of Oklahoma;|
North Carolina State University;University of Nevada-Las Vegas;University of North Carolina Charlotte;Arizona State University;|Arizona State University;
Oklahoma State University Stillwater;Rochester Institute of Technology;University of Illinois Chicago;Arizona State University;|Oklahoma State University Stillwater;Rochester Institute of Technology;University of Illinois Chicago;
|
Carnegie Mellon University;North Carolina State University;;University of California Irvine;University of Colorado Boulder;Georgia Institute of Technology;Purdue University;;University of California Los Angeles;University of Pennsylvania;Virginia Polytechnic Institute and State University;|North Carolina State University;;University of California Irvine;University of Colorado Boulder;
|
|
|
Rice University;University of Southern California;California Institute of Technology;University of California Los Angeles;University of California San Diego;University of Texas Austin;|University of Southern California;
Colorado State University;San Jose State University;University of Colorado Boulder;SUNY Institute of Technology at Utica/Rome;Florida International University;Rochester Institute of Technology;University of North Carolina Charlotte;University of Southern California;University of Texas Dallas;|SUNY Institute of Technology at Utica/Rome;
Arizona State University;Boston College;Texas A&M University College Station;University of Massachusetts Amherst;University of Texas Dallas;|
University of California Irvine;|University of California Irvine;
|
Georgia Institute of Technology;|Georgia Institute of Technology;
University of Southern California;Virginia Polytechnic Institute and State University;;North Carolina State University;App Date:15/11/2012; ;Rutgers University New Brunswick/Piscataway;App Date: 8 Nov 2012; ;Arizona State University;App Date: 13 Nov 2012; ;Clemson University;App Date: Dec 9 2012; ;University of California San Diego;;University of Florida;App Date:20/12/12; ;University of Minnesota Twin Cities;App Date:8 Nov 2012; ;University of Wisconsin Madison;App Date:18/11/2012 ;;|North Carolina State University;App Date:15/11/2012; ;Rutgers University New Brunswick/Piscataway;App Date: 8 Nov 2012; ;
|
|
University of California San Diego;University of Southern California;Carnegie Mellon University;Georgia Institute of Technology;University of California Los Angeles;University of Maryland College Park;University of Michigan Ann Arbor;University of Pennsylvania;Stanford University;University of California Berkeley;University of Texas Austin;|Carnegie Mellon University;Georgia Institute of Technology;University of California Los Angeles;University of Maryland College Park;University of Michigan Ann Arbor;University of Pennsylvania;
Cleveland State University;Wichita State University;|Cleveland State University;Wichita State University;
North Carolina State University;University of California Los Angeles;University of California San Diego;University of Florida;University of Michigan Ann Arbor;University of Southern California;University of Wisconsin Madison;|North Carolina State University;University of California Los Angeles;University of California San Diego;University of Florida;University of Michigan Ann Arbor;University of Southern California;University of Wisconsin Madison;
Arizona State University;New Jersey City University;University of Central Florida;|Arizona State University;New Jersey City University;University of Central Florida;
Carnegie Mellon University;University of California San Diego;University of Southern California;University of Texas Dallas;Texas A&M University West Texas A&M University;University of California Berkeley;University of Illinois Urbana-Champaign;|University of Texas Dallas;
University of Maryland College Park;Northeastern University;Southern Methodist University;University of Colorado Boulder;University of Texas Dallas;|Northeastern University;Southern Methodist University;
|
Ohio State University Columbus;Texas A&M University College Station;Amherst College;Arizona State University;SUNY Buffalo;Purdue University;|Amherst College;Arizona State University;SUNY Buffalo;
Dallas Theological Seminary;Texas Woman's University;University of Dallas;|
