?	450	4	?	7.2
?	630	4.5	?	7.6
?	?	?	100	7.05
760	520	?	?	7.5
800	550	3.5	110	8.3
750	540	3	98	7.83
790	510	?	?	7.5
740	230	2.5	96	?
800	540	3.5	103	8.22
790	620	4	108	8.84
720	430	3	?	7.5
690	310	3	98	7
780	380	3	?	7.98
630	350	3	93	?
770	435	3.5	104	8.76
800	650	3	104	7.8
800	650	3	?	7.9
?	?	?	?	9.425
?	?	?	98	7.78
800	380	3.5	91	?
740	400	3	109	5.5
800	580	?	?	8
760	630	3	91	7.5
740	480	3	108	6.2
780	650	4.5	118	7.5
800	485	4	108	7.71
790	540	3.5	96	7.64
?	?	?	?	7.7
780	610	5	107	9.8
?	?	?	?	?
800	460	4	97	9.59
800	500	3.5	100	8.53
740	410	3.5	117	8.1
690	300	3	84	6.6
800	600	?	110	7
790	630	3.5	117	8
?	?	?	?	?
770	550	3.5	113	7.656
680	560	3	90	4.96
?	?	?	?	?
700	380	3.5	100	7
?	?	?	98	7.1
700	600	4	106	7.56
770	575	4	?	7.25
760	580	3.5	105	9.2
740	480	3	99	6.409
790	460	4	116	8.3
790	550	3	103	8.2
800	580	4.5	105	?
800	390	4.5	104	7.5
780	360	?	?	8.12
770	550	4	?	7.38
790	440	3.5	96	7.7
780	460	3.5	99	8.08
790	680	?	?	6.2
800	550	3.5	105	8.11
770	360	3	102	8.55
800	510	3	103	8.13
780	450	3.5	?	7.6
730	480	4	101	8.39
790	580	3.5	90	7
?	?	?	?	8
790	600	?	?	7
770	370	3	96	6.43
?	?	?	100	7.938
760	560	3.5	99	8.8
640	500	4	?	8
800	520	4.5	?	8.035
700	390	3	91	8.55
800	680	3.5	117	9.1
790	330	3	95	8.1
?	?	?	?	8
?	?	?	?	6.9
800	465	4	113	7.6
640	500	3	96	7.66
800	560	4	111	8
800	500	4	108	8.41
800	640	3	112	7.5
780	640	4	105	5.7
800	460	?	105	6.94
770	660	3	111	8.65
780	590	4	?	8.21
790	500	3.5	91	9.925
800	510	4	92	6.73
520	790	3.5	101	8.5
?	?	?	?	7.1
730	460	3	?	7.931
800	500	3.5	107	8.93
750	500	?	80	?
790	510	3.5	105	9.26
720	440	3.5	99	7.1
720	480	2.5	76	7.7
780	510	3	?	?
800	670	4	112	?
?	?	?	?	7.61
?	?	?	?	6.4
730	610	3.5	93	7.72
690	590	4	?	5.9
800	460	?	?	8.29
770	670	4.5	?	9
800	700	4.5	116	8.2
710	490	3.5	?	?
760	450	4	105	9.06
760	500	3	98	8.63
800	590	4.5	?	8.86
690	670	?	?	7.9
700	400	3	102	7.5
790	515	?	?	8.83
800	520	4	110	7.39
800	460	3.5	100	7.85
800	610	3.5	?	8.7
?	?	?	90	7.8
800	690	4	?	7.78
790	575	4.5	110	5.92
760	370	3	98	5.7
?	?	?	?	8.59
?	?	?	?	8.43
780	260	3.5	86	7.4
790	550	3	105	8.2
800	500	3.5	104	7.8
690	270	?	100	?
800	650	5	?	6.8
705	395	?	?	7.5
730	560	4	115	8
740	660	3	102	7.705
780	560	?	?	6.8
790	500	2.5	106	6.68
800	620	3.5	107	7.7
620	310	2.5	?	6.1
750	730	4.5	115	8.3
780	570	2.5	94	7.438
780	660	4	?	8.72
780	590	?	?	7.6
680	350	?	?	8.23
800	610	4	115	8.02
770	460	3	104	8
800	300	3	80	8
?	?	?	?	8.2
750	310	3	77	6.7
770	610	3	?	9.84
?	?	?	?	7.2
780	610	?	111	?
800	730	4	114	8
730	570	3.5	105	7.4
740	290	3	?	?
800	670	3.5	117	9.25
730	400	3	95	6.7
?	?	?	105	9.575
730	510	3	98	6.3
800	590	3	100	7.2
740	580	3.5	113	6.99
730	450	3.5	?	7.1
800	430	3.5	?	7.43
750	430	3.5	97	5.6
?	?	?	102	7.3
740	480	3	100	6.3
760	370	4	100	8.3
800	635	3	102	9.73
?	?	?	?	?
780	490	3	100	6.35
740	470	3	110	6.7
700	520	2	94	7
800	550	4.5	115	6.5
770	360	?	?	7.1
790	570	3	108	8.84
790	580	4.5	112	6.6
790	510	3.5	105	8.78
800	620	?	?	9.16
?	?	?	?	?
740	480	3	?	6.73
780	600	3.5	111	6.8
800	800	?	114	7.3
700	540	3.5	101	?
?	?	?	?	?
?	?	?	?	?
700	330	?	?	7.02
780	670	3.5	108	8.5
760	640	4.5	113	7.9
750	560	3	?	5.5
615	450	4	100	6.5
800	430	2.5	100	8.54
780	420	4	?	9.4
