University of Cincinnati;Bentley College;University of Texas Dallas;|Bentley College;University of Texas Dallas;
Northeastern University;Oklahoma State University Stillwater;University of Illinois Springfield;University of Nebraska Omaha;|Northeastern University;Oklahoma State University Stillwater;University of Illinois Springfield;University of Nebraska Omaha;
New York Institute of Technology;New York University;SUNY Buffalo;SUNY Stony Brook;|
Georgia State University;New Jersey Institute of Technology;New York University;Rochester Institute of Technology;SUNY Buffalo;Syracuse University;University of Central Florida;University of Illinois Chicago;University of North Carolina Chapel Hill;University of San Diego;University of South Florida;University of Southern California;|
Carnegie Mellon University;|
California Institute of Technology;Cornell University;Rochester Institute of Technology;Stanford University;University of California Berkeley;University of California Irvine;University of California San Francisco;University of California Santa Barbara;University of Southern California;|
New York University;Northeastern University;Rensselaer Polytechnic Institute;University of Arizona;University of Illinois Chicago;University of Texas Austin;University of Texas Dallas;Indiana University-Bloomington;|New York University;Northeastern University;Rensselaer Polytechnic Institute;University of Arizona;University of Illinois Chicago;University of Texas Austin;University of Texas Dallas;
|
Arizona State University;University of Arizona;|
New York University;University of Washington;Syracuse University;University of Arizona;University of Florida;University of Illinois Chicago;|Syracuse University;University of Arizona;University of Florida;
|
|
University of Illinois Chicago;|
Carnegie Mellon University;|Carnegie Mellon University;
Northeastern University;Carnegie Mellon University;Oklahoma State University Stillwater;Syracuse University;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Florida;University of Washington;|Carnegie Mellon University;Oklahoma State University Stillwater;Syracuse University;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Florida;University of Washington;
Florida International University;University of Arizona;University of Florida;University of Illinois Chicago;University of South Florida;Carnegie Mellon University;Northeastern University;|Florida International University;University of Arizona;University of Florida;University of Illinois Chicago;University of South Florida;
Carnegie Mellon University;Syracuse University;University of Arizona;My First ;Indiana University-Bloomington;Texas A&M University College Station;|Carnegie Mellon University;Syracuse University;University of Arizona;My First ;
|
Johns Hopkins University;Polytechnic University of New York;University of Pittsburgh Bradford;|Johns Hopkins University;Polytechnic University of New York;University of Pittsburgh Bradford;
University of Arizona;University of South Florida;Syracuse University;|University of Arizona;University of South Florida;
University of Florida;University of Illinois Chicago;|University of Florida;University of Illinois Chicago;
|
"Northeastern University;University of South Florida;University of Southern California;Northwestern University;Syracuse University;Texas Tech University;University of Michigan Dearborn;University of North Carolina Charlotte;University of Texas Dallas;FIRST ADMIT >> Applied on Feb 19th| ;Carnegie Mellon University;University of Arizona;University of Florida;University of Illinois Chicago;Applied on Feb 15th| ;University of Texas Austin;Applied on Feb 15th| ;"|"Northwestern University;Syracuse University;Texas Tech University;University of Michigan Dearborn;University of North Carolina Charlotte;University of Texas Dallas;FIRST ADMIT >> Applied on Feb 19th| ;"
Syracuse University;University of Arizona;University of Cincinnati;University of Pittsburgh Greensburg;Indiana University-Bloomington;Texas A&M University College Station;|Syracuse University;University of Arizona;University of Cincinnati;University of Pittsburgh Greensburg;
Indiana University-Bloomington;University of Arizona;;University of Washington;;Texas A&M University College Station;|Indiana University-Bloomington;University of Arizona;;University of Washington;;
Indiana University-Bloomington;|
New York University;Syracuse University;University of Arizona;University of Texas Dallas;|New York University;Syracuse University;University of Arizona;University of Texas Dallas;
George Washington University Virginia Campus;Syracuse University;University of Washington;University of Arizona;University of Illinois Chicago;University of Maryland College Park;University of South Florida;Texas A&M University College Station;|University of Arizona;University of Illinois Chicago;University of Maryland College Park;University of South Florida;
Carnegie Mellon University;New York University;Texas A&M University College Station;Indiana University-Bloomington;;University of Arizona;;University of Illinois Chicago;;|Indiana University-Bloomington;;University of Arizona;;University of Illinois Chicago;;
|
|
Indiana University-Bloomington;Syracuse University;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;University of Washington;|
University of Houston Clear Lake;|
Central Michigan University;University of Illinois Chicago;University of Texas Dallas;Georgia State University;SUNY Buffalo;University of Arizona;|Central Michigan University;University of Illinois Chicago;University of Texas Dallas;
Carnegie Mellon University;University of Arizona;University of Cincinnati;University of Maryland College Park;Indiana University-Bloomington;Texas A&M University College Station;|Carnegie Mellon University;University of Arizona;University of Cincinnati;University of Maryland College Park;
Purdue University;Northeastern University;Santa Clara University;Texas Tech University;University of Florida;University of Texas Dallas;|Northeastern University;Santa Clara University;Texas Tech University;University of Florida;University of Texas Dallas;
George Washington University Virginia Campus;New York University;Oklahoma State University Stillwater;Rensselaer Polytechnic Institute;University of Florida;University of Maryland College Park;University of Southern California;University of Texas Arlington;University of Texas Dallas;|
|
Indiana University-Bloomington;New York University;Northeastern University;University of Southern California;University of Texas Dallas;University of Illinois Chicago;|University of Illinois Chicago;
|
Carnegie Mellon University;Indiana University-Bloomington;New York University;University of Cincinnati;|
University of Florida;University of Maryland College Park;;|University of Florida;University of Maryland College Park;;
|
Northeastern University;Oklahoma State University Stillwater;University of Illinois Chicago;University of South Florida;University of Texas Dallas;|
|
SUNY Buffalo;University of Cincinnati;University of Arizona;University of Illinois Chicago;University of South Florida;|University of Arizona;University of Illinois Chicago;University of South Florida;
New York University;Northeastern University;SUNY Buffalo;SUNY Stony Brook;Syracuse University;University of Illinois Chicago;University of Texas Dallas;|
Georgia State University;New York University;SUNY Buffalo;University of Arizona;University of Illinois Chicago;University of Maryland College Park;Texas A&M University West Texas A&M University;University of Cincinnati;|Georgia State University;New York University;SUNY Buffalo;University of Arizona;University of Illinois Chicago;University of Maryland College Park;
SUNY Buffalo;University of Texas Dallas;|
Georgia Institute of Technology;|
Indiana University-Bloomington;|
Oklahoma State University Stillwater;University of Texas Arlington;University of Texas Dallas;|Oklahoma State University Stillwater;University of Texas Arlington;University of Texas Dallas;
University of Nebraska Omaha;Utah State University;|University of Nebraska Omaha;Utah State University;
Carnegie Mellon University;New York University;|
Polytechnic University of New York;San Jose State University;New Jersey Institute of Technology;Northeastern University;Pace University;Stevens Institute of Technology;Syracuse University;|New Jersey Institute of Technology;Northeastern University;Pace University;Stevens Institute of Technology;
George Washington University Virginia Campus;New York University;Northeastern University;University of Arizona;University of Florida;University of Texas Dallas;|George Washington University Virginia Campus;New York University;Northeastern University;University of Arizona;University of Florida;University of Texas Dallas;
New Jersey Institute of Technology;University of Missouri Rolla;University of Texas Arlington;Northeastern University;|New Jersey Institute of Technology;University of Missouri Rolla;University of Texas Arlington;
Illinois Institute of Technology;Northeastern University;University of Missouri Rolla;University of Texas Dallas;University of Illinois Chicago;University of Michigan Ann Arbor;|Northeastern University;University of Missouri Rolla;University of Texas Dallas;
Carnegie Mellon University;Indiana University-Bloomington;New York University;University of Arizona;University of Cincinnati;Texas A&M University College Station;Woot :) !! First ;University of Illinois Chicago;|Texas A&M University College Station;Woot :) !! First ;University of Illinois Chicago;
New York University;University of Arizona;University of Illinois Chicago;Texas A&M University College Station;University of Cincinnati;|New York University;University of Arizona;University of Illinois Chicago;
