?	?	5	113	6
?	460	2.5	84	?
720	430	3	?	7.92
620	360	?	?	7
?	?	5	115	7.4
?	?	?	?	9.01
780	650	4	111	?
?	?	?	?	?
780	500	3	?	7.7
800	380	3.5	101	7.2
780	380	?	?	7.6
790	545	3	?	6.5
790	610	3	102	?
790	500	4	109	6.6
760	590	3	111	6.666
690	570	2.5	101	5.5
780	440	3.5	108	9.3
?	?	?	93	?
730	420	3	97	6.4
760	450	?	97	7.6
660	450	?	90	?
550	450	4	105	?
770	360	3	101	6.513
800	590	3.5	105	6.95
790	440	4.5	111	6.3
770	690	?	?	8.6
780	550	2.5	99	6.2
760	515	4	111	7.2
790	650	3	115	7.54
800	300	3	82	6.09
700	320	2.5	90	7.022
800	515	3	96	8.2
?	?	?	?	?
800	400	3	93	7
770	560	3	110	?
?	?	?	?	6.23
700	520	?	?	6.5
710	530	4	?	6
790	570	4	107	6.1
730	400	2.5	?	8
760	485	3	?	8.07
730	410	?	105	5.8
?	?	?	?	7.78
760	340	3	90	7.9
730	?	2	?	5.8
780	450	3	100	7.1
700	370	4	?	6.5
640	550	3	109	7.63
750	485	3.5	106	5.9
?	?	5	104	7.01
800	640	3.5	110	6.5
670	410	3	105	8.1
640	530	3.5	105	7.44
800	640	3	102	7.51
710	350	3.5	83	5.7
800	430	3	103	6.8
630	490	3	86	?
760	545	3.5	?	6.25
720	560	3.5	115	7.2
800	490	3	?	?
790	560	3	110	7.1
630	530	3.5	?	?
680	395	?	97	5.6
680	460	4	97	?
720	380	3.5	?	7.4
780	350	3.5	94	6.81
800	635	5	115	7.6
800	510	3.5	100	6.9
680	510	3	92	7.6
690	360	3	?	6.8
790	410	3	103	6.7
620	?	?	?	?
640	380	3.5	100	5.5
800	520	3.5	108	6.95
670	370	2.5	86	6.6
790	310	3	95	7.3
720	540	3.5	107	?
730	590	3.5	106	6.5
590	460	?	?	?
750	435	3.5	95	7
720	430	?	102	6.9
640	340	3.5	100	?
800	545	4	107	7.8
?	?	?	?	9.2
?	?	?	107	6.6
680	440	3	98	6.8
740	485	4.5	109	6.6
630	530	3.5	105	6.2
740	580	3.5	105	?
700	570	?	?	?
770	420	2.5	81	5.7
800	560	4	107	6.7
780	320	2.5	81	5.9
780	460	4	?	7.3
700	600	3.5	97	6.3
770	670	4	110	8.5
?	?	?	?	6.67
770	670	4	110	8.5
770	510	3.5	100	7.3
790	450	3	84	?
?	?	5	?	?
?	?	?	?	6.21
750	510	3	?	7
790	510	4	106	7.4
770	300	3	87	?
760	485	3	98	6.93
770	650	?	?	?
720	520	3	?	5.87
800	570	4	106	7.2
760	510	5	98	6.056
760	510	3	99	6.7
690	435	3.5	95	7
740	310	2.2	92	?
750	500	4	108	7.2
710	440	3	80	5.8
730	450	3	104	6.1
770	620	3	109	7.1
790	480	2.5	104	6.7
680	435	3	97	7
770	450	3.5	92	6.7
750	400	3.5	108	7.1
730	450	3.5	99	5.7
?	?	?	?	7.2
?	?	?	?	6.8
770	560	4	104	7.98
680	340	?	88	5.4
?	?	?	?	?
770	500	4	?	7.36
690	530	3	105	7.24
?	?	4.5	?	8
770	610	3	?	6.8
670	490	?	?	7.53
750	545	4	119	6.389
760	690	4	115	7.4
800	600	4	113	9.45
790	570	3.5	106	8.01
780	590	4.5	102	8.43
730	550	3	97	7.4
?	?	5	107	?
710	410	?	104	?
800	600	?	112	?
?	?	6	114	?
800	540	3	100	6.94
710	310	?	?	8.3
?	?	?	?	7.092
760	500	4	111	9.2
700	550	4	92	7.2
800	540	3	109	7.4
730	395	3	93	6.06
800	420	?	?	6
770	460	3	100	6.047
730	570	2.5	100	7.7
?	?	?	99	?
790	360	3.5	?	6.623
790	400	2.5	?	7.5
760	540	3.5	102	5.8
730	485	3	93	6.3
800	640	3.5	107	7.61
730	570	4	113	6.8
740	420	3	101	5.587
760	480	4	110	5.5
630	640	3	112	6
760	370	3.5	94	5.8
630	470	3	94	6.22
680	530	3	105	6.8
780	500	3	108	7.3
750	360	3.5	96	?
790	560	3	94	7.75
710	640	3.5	100	8.34
?	?	?	?	6.2
?	?	?	?	5.85
710	500	?	?	?
750	450	4.5	?	7.8
800	540	3.5	107	6.4
780	520	3.5	109	7.8
770	540	4	112	6.4
740	650	3	?	7.3
720	340	3	94	6.6
?	?	?	?	9.25
690	660	3	102	8.3
?	?	5.5	117	7.5
800	600	3.5	106	6.8
740	540	?	?	8.32
770	465	4	96	7.8
800	360	4.5	?	5
760	320	3	91	6.4
760	560	3	107	6.56
800	720	4	115	7.34
740	670	3	110	8.2
790	560	3	94	7.75
800	610	4	115	8.15
710	560	3.5	?	7.8
800	560	3	105	8.5
660	770	3.5	116	7.1
650	590	3	?	8.775
750	380	3	98	6.4
790	500	4	101	7.6
710	630	4.5	107	?
760	450	3.5	?	6.2
790	630	4	114	7.898
770	545	4	114	8.08
790	610	3	102	8.3
?	?	4.5	?	9.29
690	515	?	105	6.2
?	?	?	?	?
800	465	3	102	9.12
630	660	3.5	105	6.8
800	530	4.5	101	7.5
730	570	3	109	7.5
?	?	5	100	5.8
750	515	4	111	8.6
780	450	4	99	7.65
760	420	3.5	99	7.48
780	670	2.5	93	8.1
?	?	5	104	7.54
?	?	4	101	7.34
800	450	4	100	7.2
760	450	3.5	91	7.3
760	620	4.5	112	6.7
760	510	3.5	107	6.26
800	605	3.5	113	7.14
600	500	3	95	7.1
?	?	?	?	8.46
780	580	3	?	?
800	600	4	107	6.07
680	665	?	112	7.5
?	?	?	99	?
?	?	4.5	103	7.3
710	540	3	90	6.9
750	360	?	?	7.26
644	360	3	90	6.3
790	485	3	?	6.24
720	530	3	107	5.5
690	360	3.5	95	?
?	?	?	?	?
730	390	?	?	7.532
720	630	3	106	6.5
640	320	3.5	?	?
760	435	3.5	97	7.1
750	600	3.5	107	8.9
?	?	?	?	?
740	435	3.5	104	7.475
?	?	?	?	6.96
780	500	3	108	7.3
720	430	3.5	105	6.4
800	465	4	103	6.35
800	570	3.5	111	6.2
710	320	2	82	?
730	620	3	93	7.069
730	580	3	103	7.3
680	430	3	100	7
730	450	4.5	108	6.3
740	570	3	116	7.4
?	?	?	?	?
680	460	3.5	98	5.7
?	?	?	?	?
780	450	3.5	105	6.9
700	450	3.5	107	7.1
720	550	?	?	6.08
730	530	3	111	?
800	650	3	?	8.55
720	520	3.5	108	7.99
720	520	4	108	?
?	?	?	?	?
800	610	?	?	8.82
750	680	5	113	6.8
750	320	2.5	85	8
?	?	5.5	?	6
?	?	?	?	?
730	640	?	115	7.4
750	400	?	?	5.1
720	300	3	88	5.45
?	?	4	100	7.8
790	460	3	?	?
770	575	3.5	108	8.5
720	410	3	97	?
700	460	3	92	6.2
750	570	?	?	7
?	?	?	?	6.4
600	530	?	90	8.2
770	465	4	110	6.2
710	330	3	96	?
800	470	?	94	8
790	480	3	106	8
550	350	2	78	?
?	?	?	?	8.5
750	400	2.5	?	6.7
600	470	3	93	7.6
610	420	3	91	?
680	550	2.5	?	5.8
670	280	4.5	95	6.7
?	?	4.5	111	6.7
?	?	?	?	?
?	?	?	?	5
700	500	4.5	104	8.75
650	540	3.5	105	7.2
750	540	3.5	92	7.8
770	515	4.5	108	7.2
800	670	4	109	7.6
770	600	3	?	7.62
790	640	3	104	7.1
800	670	?	?	8.1
780	540	3.5	?	?
780	560	3.5	?	?
?	?	5	113	?
750	640	3.5	?	6.1
?	?	4	?	?
780	610	3.5	?	8.1
730	550	4	?	7
730	480	3	90	8.03
800	490	3	?	?
740	395	3	95	5.87
?	?	?	?	?
710	320	3	89	6.018
800	610	3.5	?	5.8
750	550	3.5	106	5.56
650	390	?	?	6.5
?	?	?	?	7.3
760	490	3	96	7.25
730	460	?	?	?
?	?	?	?	?
690	420	3	85	6
780	485	4	107	7.2
?	?	?	?	?
?	?	4	107	7.8
?	460	?	?	?
?	?	?	110	?
640	380	?	?	5.4
690	340	3	81	6.739
740	310	2.5	88	6.2
670	270	?	?	7.5
730	660	4	?	7.78
720	520	3	94	5.4
800	570	?	?	8.1
730	340	3.5	?	7.4
644	590	3.5	114	7.93
?	?	?	?	?
720	570	3	90	7.5
?	?	?	?	?
710	590	3.5	100	7.4
750	550	3.5	101	6.4
730	360	?	81	?
760	610	4	?	?
770	515	3.5	116	6.03
780	745	4	100	7.7
?	?	4	95	?
770	395	3	?	7.2
710	360	?	?	?
?	?	5.5	110	7
670	270	?	?	7.5
720	300	3	?	7.4
?	?	4	106	8.2
720	510	3.5	?	8.8
610	580	3	102	8.3
770	680	3	?	7
?	?	4.5	104	6.94
?	?	?	?	6.1
750	410	3.5	101	7.74
660	340	3	89	8.25
670	400	3.5	?	7
640	560	?	?	6.7
700	560	?	?	8.3
790	540	4	106	8.6
710	440	?	97	7.4
770	600	3	?	7.5
790	370	3.5	97	7.7
730	640	3.5	115	7.4
790	660	?	?	8.1
740	570	3	108	7.4
700	360	3	95	?
720	410	2.5	84	9.3
780	470	3.5	99	?
790	370	?	?	?
800	515	3	91	6.9
780	395	4	101	7.14
680	360	3	?	?
720	300	3	85	7.69
490	340	3.5	?	?
760	350	3.5	92	8.06
540	360	3	?	6.693
800	540	4	?	6.7
?	?	?	?	6.3
?	?	?	?	?
770	540	4	?	6.4
750	470	?	?	8
644	395	?	82	6.1
?	?	?	?	6.2
?	?	?	?	?
?	?	?	?	7.6
720	570	3	?	8
800	560	3.5	?	6.7
800	465	3.5	106	6.99
800	710	3.5	?	6.1
710	800	3.5	103	8.3
750	360	3.5	98	7.109
630	400	3	?	?
770	575	?	99	8
790	660	?	?	7.4
770	395	3.5	95	7.56
644	605	4	?	7.1
730	370	2.5	80	6.34
?	?	?	?	?
?	?	?	?	6.813
720	370	4	107	8.1
800	500	3.5	105	7.21
750	540	3	103	9.08
750	450	2.5	99	6.1
720	510	4.5	?	7.6
790	450	4	107	9.05
?	?	?	?	?
665	320	3	83	7
720	465	3.5	106	6.9
790	395	3.5	100	6.98
710	550	3.5	91	6.7
780	575	4	99	7.55
770	710	4	110	6.3
740	650	3	110	7.4
?	?	?	?	?
650	750	4	?	?
705	380	4	97	?
730	360	4.5	105	8.3
790	580	2.5	94	7.7
?	?	?	?	?
?	?	4.5	115	6.9
800	530	3.5	104	5.8
700	520	4	112	6.4
660	340	3	89	5.4
?	?	?	?	6.52
800	590	2.5	107	6.1
720	340	2.5	98	6.8
770	515	4	107	9.575
790	660	3	?	8
730	490	3.5	?	6
?	600	4	?	8.75
?	?	?	?	?
800	550	2.5	100	9.1
?	?	?	?	5.4
?	?	?	?	5.63
770	530	3.5	110	8.0168
780	490	2.5	?	?
800	510	3	106	8
750	640	3.5	?	6.2
710	630	3.5	116	5.7
710	320	3	92	5.5
770	560	4	109	7.6
800	570	3	108	?
?	?	?	?	6.7
?	720	?	?	7.7
575	575	4	92	6.9
740	340	4.5	100	8.5
740	420	3.5	96	6.4
800	490	3	?	7.52
720	460	3	99	?
?	?	4.5	?	?
720	420	3	?	5.5
680	685	5.5	119	7.5
700	600	3.5	115	7
720	580	4	?	?
720	395	2.5	93	5.6
740	340	2.5	?	?
730	310	3	88	6.4
620	360	3	92	?
800	600	4	114	6.02
780	660	4.5	?	6.05
730	300	2	?	6.2
760	380	3	103	6.5
?	?	?	?	?
720	420	?	114	5.5
760	435	3.5	105	6.4
740	605	5	109	6.5
780	490	2.5	91	7.5
?	?	5.5	112	7.54
310	260	3.5	?	6.189
?	?	?	?	8.12
?	?	?	?	7.75
720	380	3	92	6.6
800	600	3.5	108	7.1
740	640	4	?	7.749
780	530	3.5	104	6.2
780	650	4.5	116	6.432
?	?	?	?	7.5
665	330	3.5	93	7.3
770	690	3	100	8.58
800	600	4	107	6.08
740	460	3	97	8.12
800	560	4	115	7.25
770	470	4	104	7.33
?	?	?	?	?
630	510	3.5	103	?
800	?	3	105	?
705	370	3.5	97	5.8
720	340	3	94	6.6
800	670	3.5	103	?
750	300	3	83	6.9
?	?	?	?	?
680	460	3.5	115	8.3
800	560	4	113	8.99
670	540	3.5	?	8.1
?	?	5	114	6.2
?	?	4.5	96	7.4
800	520	3.5	97	8
?	?	?	?	?
?	?	?	?	?
?	?	?	?	?
?	?	4	108	8.7
720	530	3.5	103	7.3
780	520	3	114	7.5
730	485	3.5	109	8
