?	700	3.5	112	7.618
720	530	3.5	101	8.05
790	570	4.5	117	8.5
560	480	3.5	96	6.6
800	570	3.5	106	8.54
620	290	2	90	5.2
770	530	4.5	103	8.66
780	430	2.5	93	?
760	630	?	?	6.7
780	550	3	102	8.2
740	620	3.5	100	6.8
800	640	?	116	9.1
730	400	2.5	95	6
800	440	3.5	103	7.65
800	440	3.5	?	7.65
740	610	3.5	104	7
?	?	?	?	7.5
730	400	2.5	95	6.2
760	640	3	102	8.75
760	630	?	?	6.7
790	340	3	94	8.59
730	610	3.5	99	6.6
780	450	?	101	6.3
800	630	3	106	9
800	580	3.5	102	7
740	460	4	108	6.1
780	450	3.5	106	8.13
710	400	2.5	99	7.97
790	600	3.5	?	7.5
800	500	3.5	116	6.575
790	605	3.5	107	6.96
800	435	?	?	9.33
?	?	?	?	8.65
800	720	5.5	?	9.5
750	280	2.5	?	6.4
790	450	3	104	7.17
800	400	4	?	?
800	400	4	?	?
800	400	4	?	7.17
800	500	3.5	101	7.23
790	550	4.5	104	7.22
800	620	4	102	8.77
710	560	4	112	5.9
800	570	4	105	5.9
760	410	3	97	9.3
790	500	3.5	110	7.98
740	560	4	103	8.1
790	470	?	96	6.25
780	550	3	?	8.07
790	700	5	111	8.95
770	310	?	?	5.92
800	550	5	111	8.3
640	460	3.5	?	7.3
750	750	4	111	9.54
760	490	3	89	6.3
740	580	3.5	110	9.2
800	670	3.5	101	6.5
800	620	2.5	?	8.9
730	540	4.5	?	6.1
800	570	3.5	108	6.7
644	465	3	?	7.8
760	480	?	113	?
770	540	4	107	8.81
690	390	3	91	7.2
780	420	4	?	8.4
370	720	3.5	93	?
?	?	?	?	7.4
800	500	3.5	?	9.2
720	440	4	102	7.23
760	480	4	111	7.994
770	550	4	95	8.04
770	510	3.5	98	5.835
800	640	4	114	7.4
720	450	3	84	?
760	590	3	101	7.2
760	460	3.5	93	7
800	360	4.5	98	?
800	720	4.5	117	9.8
800	515	3.5	110	7.9
760	530	3	104	6.156
740	400	3.5	?	7.52
770	530	4	111	8.03
720	420	3	101	6.7
790	550	3.5	104	8.51
780	620	3.5	109	8.13
760	490	4	93	6.54
710	?	?	?	?
