Q	V	A	T	G
800	610	4.5		7.6
	590	4		6.5
	420	4	108	7.46
	510			7.5
	670	4	118	7.6
	610	3.5		8.5
	600	4	111	6.581
800	640	3.5	107	7.5
730	490	3	93	8
				
740	380	3.5	92	7.945
730	360	3	92	7.56
780	590	3	100	7.88
780	380	4		
800	460	3.5	106	7.9
690	510	4	102	
780	340	3	95	7.4
740	630	3.5	112	6.4
800	630			8.6
790	660	4.5		7
730	450	3	97	7.2
780	600	4	102	8.034
570	410	4.5	94	
700	310	2.5	83	6.3
700	350			
770	660	4	111	7.2
790	560	3.5	101	7.83
800	430	3	93	8.27
800	660			9.3
710	550	4.5	108	8.6
800	680	4.5	107	6.4
800	470	4.5	104	6.7
700	650	4	108	8.02
700	550	4.5	114	7.556
760	480	3.5	100	7.57
790	465			8
800	610	4.5		8.87
800	640	5		7.27
800	560			8.49
760	580	2.5	96	7.7
750	460	4.5	111	7
800	610	3	102	7.55
720	460	3	90	8
790	480	3.5	110	8.2
760	480	2	96	6.85
800	510	4.5	104	8.76
720	450	4	115	6.1
780	580	3.5	100	8.14
740	590	4	110	
790	670	3.5	118	7.9
780	600	4	112	7.7
770	550	4	103	7.2
760	550			6.4
800	650	4.5	108	7.9
780	590	3	108	6.6
770	540	4	111	6.1
720	460	3	97	6.7
800	700	4	110	7.3
800	510	4.5	111	8.73
760	340	3.5	92	8.5
800	610	3	103	8.6
670	310	2	81	5.88
730	650	4	108	5.8
800	550	3.5	115	7.68
680	460	2.5	100	6.32
800	560			8.49
780	510	3	98	
710	410	3.5	81	7.38
800	620	4	115	6.2
700	470	2.5	94	7.5
720	510	3	96	6.7
800	650	4.5		6.5
760	400	3	102	6.5
700	340	2.5	99	7.04
700	400		93	6.4
800	570	4.5	98	8.74
780	470	3	106	6.284
790	540	4	109	8.9
800	610	5	102	7.3
800	470	3	90	8.37
				
780	570	3	106	8.83
800	720	5	112	8.45
800	435		98	7.5
800	600	3	115	6.8
720	380	3.5	88	8
760	550	4	90	8.28
790	600	5	113	8
700	560	3.5	98	7.3
780	340	3.5	100	8.625
770	600	3.5	106	8.52
760	690	3.5	105	7.3
690	460	3	102	9
750	570	4	112	9.075
800	580	4	115	6
780	550	3.5	110	7.68
790	630	3.5		7.97
800	630	4.5	112	9.21
790	600	4	113	6
800	580			9.45
760	550	4	112	8.32
790	500	3.5	112	8.3
780	450	5	113	8.08
770	570	4	108	6.2
780	580	3.5	111	7.5
800	530	4	105	8.85
780	620	4	115	7.85
790	520	3.5	97	7.64
				
800	550	3	97	6.592
800	510		110	
800	570	4.5	116	8.2
780	570	3.5	111	7.3
790	515			8.94
720	360	4	100	7.9
780	500	4	115	7.525
770	440			7
800	600	4.5	110	7.2
730	410	4	108	7.52
800	740	4	118	7.86
800	520	3	95	
790	550	3.5	97	7.4
800	590	3.5	110	7.54
760	580	4.5	105	7.7
800	390	3	103	6.892
760	660	4	111	7
790	520	4	108	8.66
650	350		92	
800	680	4.5	105	9.1
700	350	3	95	8.75
800	650	3.5	116	6.7
				
720	290	3	82	8.07
760	470	2.5	81	6.2
700	300	2.5	101	
800	490	3	95	8.25
				8
800	620	5	119	7.079
800	490	4	98	7.2
780	470	3.5		9.3
680	620	3.5	104	8.71
760	480	3.5	98	6.5
740	620	5	112	8.72
630	470	3	94	
800	550	4	107	7.4
760	530	3	95	7.2
790	640	4.5	115	7.51
730	540	3	107	
720	510	3	106	6.9
680	300	3		7.92
800	590	3	117	8.9
800	620	4	110	8.99
780	520	3.5	97	6.7
680	510	3	109	7.2
760	340	3	89	7.75
730	460	2.5	96	6.963
690	510	2.5	90	7.447
730	510	3	105	6.984
500	800	4.5	101	8
750	350	3	89	5.3
790	510	4.5	105	8.3
760	580	2	86	6.519
			100	5.902
730	440	4	99	8.3
760	550	3	92	6.987
800	560	3	105	8.39
780	530	3.5	110	8.22
780	600	4	115	7.01
780	420	4	110	6.004
750	540	3.5	105	7.1
800	600	5	114	7.8
780	620	3.5	114	8.525
800	700	3.5	111	9.54
790	570	3.5	98	6.7
				7.3
790	465	3	105	6.54
760	540	3.5		7.41
790	520	4	109	6.9
760	600	3.5	109	8.94
760	560	3.5	104	8.95
720	380	3	88	8.25
780	550	3	112	8.01
790	620		100	6.5
780	470	3	97	6.8
680	540	3	95	7.4
				
770	470	4		6.2
790	630	3	98	7.3
790	450	4	99	7.561
780	500	3	96	6.9
770	550	3.5	108	6.8
700	560	3.5	109	7.47
800	560	3.5	107	7.3
790	570	3.5	100	6
750	670	4	107	8.82
780	460	3	92	6.6
650	480	3.5	99	6.75
				6.1
660	530	3		
800	600	4	112	9
800	700	4	113	6.2
650	440	3	91	6.9
660	500	4	105	7.3
790	430	3	103	8.3
780	520	3.5	98	8.7
750	540	3	93	7.8
790	490		112	8.1
770	380			7.1
790	510	3	98	6.4
720	400	4	104	7.95
780	520	3	109	6.2
760	590	4.5		7.1
750	520		99	6.5
680	420	2.5	101	7.038
750	450	3.5	82	
800	530	3	93	8.875
790	510	3	106	7.5
700	400	3	93	6.4
800	580	4	110	6.57
690	490			
770	470	3	97	7.27
780	590	5	110	7
720	420	3	101	9.075
590	310	3	84	6.8
790	790	4.5	113	8.1
800	650	4	112	8.82
				8.5
700	400	3	103	7.39
750	420	3	96	7.05
790	670	4.5	111	8.48
740	280	2.5	110	7.34
790	690	5	115	7.4
770	400	3	95	8.04
800	640	3.5	111	7.6
730	520	4	112	8.193
700	500	3	104	6.1
740	500	4	101	6.5
800	520	3	98	
780	700	4	110	7.5
780	520	3.5	101	6.7
800	760	5	118	9.19
770	610	4.5	105	6.4
750	515	4	97	7.504
680	320	3		
780	550	3.5	107	7.7
720	330		87	
740	490	3	98	6
800	660	5		9.29
750	570	3.5	99	7.5
800	720	4	118	7.35
730	570	5	110	8.3
620	470	2.5	90	7.1
770	590	5	98	8.42
730	550	3	99	7
690	490			8.02
790	610	3.5	103	8.55
790	520	4		8.4
				
800	660	4.5	113	6.35
700	520	4		
710	510	4	107	7.9
800	480	3.5	109	8.14
680	510	4	106	6.1
800	640	4.5	114	7.65
800	620			8
760	500	3.5		5.9
770	670	3.5	117	
800	600	4	116	9.37
770	680	4.5	116	6.4
770	540	4	102	7.3
790	500	3	86	5.8
750	450	3.5	109	
680	360	3	96	5.3
710	430	3	97	8.19
770	630	4	103	8.71
			96	7
770	710	3.5	104	8.1
740	620	3	104	7.26
750	560	4	105	5.88
770	560	3.5	97	8.74
				9.52
770	600	4	110	7.46
				
	400	3	93	7.5
720	550	3	81	8
800	620	4	99	7.1
770	670	3	107	8.54
720	470	3	84	6.2
				8.69
790	680		108	6.8
700	320	3.5	90	5.8
750	520	3.5	116	5.99
700	630	4.5		6.43
	270	3.5	95	8.01
790	560	3.5		7.2
780	320	3	89	7
710	440	3	94	6.069
800	520	3	96	7.8
710	430	3	97	8.19
800	610	4		8.77
680	270	2.5	96	7
730	290	3.5	83	7.1
760	530	3	100	6.8
690	430	3.5	89	
				
700	310	3		7.81
750	510	3.5	86	8.04
800	680	5	114	7.1
750	670	2.5	105	6.325
700	370	3	94	5.8
620	530	4	103	6.3
800	400	3.5		
790	650			7.5
800	520	3	101	7.32
800	500	4	115	8.8
780	560	3	102	7.4
750	350	3	90	
780	550	3	114	7.306
740	320	2.8	90	7.4
790	700	4		7.8
760	550	3.5	105	7.9
800	650	5		7.8
730	580	4		6.85
				7.52
750	620	4.5	112	6.4
750	330			5.7
740	550	3.5		7.5
790	620	4	116	8.96
720	550	3.5	95	
				9.3
750	590	3	105	8.9
680	580	3.5	104	5.9
800	570	3	111	7.1
700	350	3.5	103	
760	580	4		6.916
700	320	4	99	
780	670	5		7.1
800	440	4	111	7.42
800	400	3		8.2
790	540	4	102	8.1
790	570	4		7.45
790	460	4	101	7.92
760	540	4.5	105	
710	430	3.5	107	8.2
800	360		91	8
			92	
800	800	6		10
730	480	4.5		5.8
				
690	590	3	104	
750	360	3	97	
780	450	2.5	84	6.825
730	330	3	87	6.8
780	550	4	100	7.1
710	330	3		6.15
770	560	3	105	7.1
790	560	3.5	108	7.5
770	485	2.5	99	8.27
720	340	1	98	6.9
750	580	4.5		6.9
800	720	5.5	118	
760	530	3	91	8.11
780	550	3	97	6
760	500	3.5		
760	610		112	6.9
670	540	4	112	5.8
800	580	3.5	109	8
680	400	3	96	7.8
740	550	4	105	6.6
770	640	4.5	114	6.3
760	390	4.5	94	10
770	550			7.73
800	660	4.5	108	7.6
700	430	3	101	8.16
770	690	3		5.8
670	670	4	101	8.3
700	400		95	7.1
780	465	3.5	107	7.1
670	600	3	93	6.7
760	340	3	94	7.455
740	510	2.5	100	6.55
800	730	3.5		8.82
800	660	3.5	109	6.545
780	490	2.5	96	6.073
790	380	3	104	7.7
				
790	400	3	86	7.3
700	570	3.5	110	7.8
760	420	3.5	110	7.9
770	410	3.5	100	6.7
740	440	3	92	7.4
750	430	4	106	8
700	420	3	93	
740	520	4	98	
				
650	680	3	104	7.3
740	640	3	96	6.6
800	635		116	7.32
740	330	2.5	82	7.7
690	395			8
800	570	3	98	7.3
790	410	3	92	7.77
790	560	3	102	7.4
750	470	3	99	7.84
800	640	3.5	108	6.5
750	600	3.5	104	8.75
780	530	3	92	7.1
770	650	4		6.9
750	450	3		7.7
800	530	4	109	7.9
790	540	4	102	8.1
690	410	2.5	80	5.7
800	600	4		7.1
760	530	2.5	98	7.72
770	530	3	102	8.09
730	470	3.5		7.07
800	560	4.5		8.1
				8.1
730	560	3	113	8.526
790	560	3.5	113	
700	350	3	105	5.4
720	320	3	99	7.64
				6
770	340	3.5	93	6.4
	260	2.5	100	6.4
750	420	3.5		9
780	380	3	106	6.1
800	540	4	104	7.193
770	380			7.455
790	340	4	103	
700	370	3	100	6.4
780	640	4	111	8.2
800	570	3	100	9.21
800	570	4.5	112	9
780	670	5	116	6.622
760	450	3	96	5.9
670	360		79	6.2
800	620	5.5	117	8.97
770	370	3	94	5.55
800	600	4.5	105	8.6
760	370	3.5	100	6.7
770	520	3	118	7.2
780	580	3.5	104	8.57
790	530	3.5	104	7.6
720	460	3	102	7.83
740	640	3		6.6
720	500	3	103	6.313
800	590			7.93
670	310	3.5	102	7.6
800	660	3		7.73
770	470			8.56
700	310	3		6.2
710	380	3	94	
730	520			8
730	370		94	6.6
700	480	3.5	90	6.99
800	500	3.5	103	7.2
790	620	4	111	7.9
				7
730	440	3.5	97	8.52
700	580	3.5	108	7.85
760	360	3	94	6.3
790	350	3	97	7.1
780	420	3	102	
750	310	3	88	7.18
760	450	3.5	79	6.288
770	680	4	115	6.842
800	690	4.5	118	8.55
760	240	3	83	8
800	500	2.5	101	6.21
740	280	3	102	6.5
790	550	3.5		5.8
800	650	4	110	8.5
800	730	4		8
720	510	3.5	100	8.05
740	560	3.5		7.5
730	520	4	108	7.24
600	590	4.5	120	5.3
750	330	3	81	6.96
720	540	3	87	6.4
730	550	3	94	7.43
770	500		112	8
700	410	4	95	7.132
800	520	4	106	7.4
				8
720	530	3	91	6.5
750	570	3.5		6.6
760	420	3.5	95	8.8
730	350	3.5	94	6.1
			102	8.425
730	580	4	115	6.938
760	500	3.5	98	6.8
800	600	3	104	8.2
750	400	3.5	90	6.4
700	370	3	87	7.4
800	640	4	112	7.07
620	320		89	
720	290	3	83	7.023
800	330	3.5		7.9
640	310		84	10
750	500	3		7.93
740	570	4	105	7.538
780	550	3	114	7.36
750	410			7.8
740	650	3	106	7.54
780	665	5	118	8.07
770	380	3	90	7
800	620	4	112	9.05
800	690	4.5	117	8.3
750	515	3.5	103	7.342
800	320	3	101	7.3
770	620	3.5	103	6.3
720	450	3.5	99	7.5
665	320	2.5		6
740	470	3		8.93
800	600	4	110	6.5
				9.36
600	800	3.5	110	6.867
770	465	3	103	8.2
790	520	3	91	7.01
760	640	3.5	106	8.8
800	690	4.5		6.7
750	420	3	103	6.01
				7
720	320	3.5		7
740	500		105	5.7
				8.23
770	360	4.5	104	7.97
				8.97
790	340	4		7.42
780	490	3.5	99	6.5
790	410	3.5	109	7.1
800	500	4	110	7.7
740	530	3	101	6.9
730	300	3.5		6.6
770	680	4		6.825
800	700	4	112	8
750	560	3	85	7
670	550	3	99	7.86
800	460	3	101	
710	430	3	108	7.3
800	680	3	109	7.9
780	630	4	110	5.65
800	470	3.5	93	6.5
800	545	4	112	9.13
800	460	3.5	99	6.573
750	550	3.5	101	
720	300	2	73	6.1
780	605	4	109	7.56
680	660	3.5	111	8.5
750	490			8.65
				
780	450	3.5	104	8.96
	560		105	5.8
780	600	3		9.2
780	480	3	104	6.52
770	700	5	109	7.2
690	370	4	89	6.941
800	670	3.5	100	7.5
